,cv_var,cv_iqr,cv_mode,cv_mode_freq,cv at CPV > 0.8,cv at CPV > 0.99,training_size
0,8.003425870773246e-07,0.0,0.2082949908777634,64,0.2123692158365219,0.2082949908777634,225
1,1.1254129761984543e-31,0.0,0.6063923327951991,70,0.6063923327951991,0.6063923327951991,225
2,6.172636855047635e-05,0.0,0.3281826818599718,69,0.3281826818599718,0.3281826818599718,225
3,1.9526066985829374e-08,0.0,0.6034812495346266,68,0.6026485055607421,0.6026485055607421,225
4,2.5904225331030462e-08,0.0,0.1314471939950474,63,0.1314471939950474,0.1314471939950474,525
5,1.2945673941126656e-05,0.0,0.2881993042060206,60,0.2875883668598292,0.2881993042060206,525
6,7.03383110124034e-33,0.0,0.1514905682363752,70,0.1514905682363752,0.1514905682363752,525
7,1.3633989631054433e-05,0.0,0.220057523443664,68,0.2179547093405571,0.220057523443664,525
8,1.3765259707260896e-06,2.1804235623701373e-06,0.2189405856188093,35,0.2247245413021476,0.2189405856188093,2128
9,0.0013028096905197072,0.0,0.4237886278350427,52,0.1218193498996574,0.4240587512034419,2128
10,4.1469173855272036e-07,0.0,0.0599712716531164,67,0.0582556004903855,0.0599712716531164,2128
11,1.1556754113662736e-06,0.0,0.044350982499932,62,0.0437907946359365,0.0437378928549975,2128
12,1.5953873525319957e-05,0.0,0.1470052778417108,57,0.1336036183471801,0.1610665697159501,4256
13,7.883550356149958e-06,1.1102230246251565e-16,0.1906874583191921,38,0.1828252558804243,0.1912486114044999,4256
14,0.0005157407712827236,0.0033472067508379943,0.1024086027808496,35,0.1568828930997898,0.1024086027808496,4256
15,8.502433030016678e-07,7.431685760186935e-08,0.0251291395855934,45,0.0235572087639108,0.025129213902451,4256
